candidate_id,doi,title,year,provider_type,review_order_group,title_signals,known_complementary_doi,occurrences,eligibility,methods
00009a4382047c420a9c95a6,10.1002/advs.202509287,Titania Nanopores as Photoelectrocatalysts for Coupling Hydrogen Production with Plastic Reformation,2025,article,4,oxide,False,1,UNREVIEWED,NOT_CODED
0004723a0ca8419e20092982,10.1149/2162-8777/ac774b,Review—The Synthesis and Characterization of Recent Two-Dimensional Materials for Energy Storage Applications,2022,article,4,,False,2,UNREVIEWED,NOT_CODED
000770ebd5242cc8ab43f65a,10.1063/5.0132445,Transient photocapacitance spectroscopy on Au/TiO2 Schottky diodes with rolled-up nanomembrane electrodes,2023,article,4,oxide,False,1,UNREVIEWED,NOT_CODED
0007955839dedc014a3b86b6,,Optical and electronic characterization of semiconductor films using transmittance and reflectance spectra,2015,dissertation,4,,False,1,UNREVIEWED,NOT_CODED
00079ee34b604f68bf1e2e7e,,先進スーパーキャパシター用多孔グラフェン材料の設計及び創製,2014,dissertation,4,,False,1,UNREVIEWED,NOT_CODED
00087f8facd48cb35a5d37b7,10.2516/ogst/2015025,"Comparative Study on The Photocatalytic Hydrogen Production from Methanol over Cu-, Pd-, Co- and Au-Loaded TiO2",2015,article,4,oxide,False,1,UNREVIEWED,NOT_CODED
00097d9dc681234307a2a7a6,10.1007/s44288-025-00354-9,Pseudomorphism of alkali feldspar to biotite from the alkaline nana complex granite in Cameroon,2025,article,4,,False,1,UNREVIEWED,NOT_CODED
000a306b7fa2855889e16889,10.1016/j.electacta.2026.148389,Ti-induced construction of RuO2 solid solution for achieving high selectivity in ·OH generation and long lifespan electrocatalytic degradation of methylene blue,2026,article,4,oxide,False,1,UNREVIEWED,NOT_CODED
000f8096ead979c20b7e9e0d,10.3390/catal13081226,Rational Design of the Catalysts for the Direct Conversion of Methane to Methanol Based on a Descriptor Approach,2023,article,4,,False,2,UNREVIEWED,NOT_CODED
00144de0dafe9f68eff8c911,,Hardfaced wear resistant coatings for mining tools,2019,dissertation,4,,False,2,UNREVIEWED,NOT_CODED
00167dc6bf2f9e0cdfc30180,10.1038/s41598-022-23724-6,Effect of oxide layers formed by thermal oxidation on mechanical properties and NaCl-induced hot corrosion behavior of TC21 Ti-alloy,2022,article,4,,False,1,UNREVIEWED,NOT_CODED
0016c292ed7a3935cae270b9,10.5282/edoc.26529,"SnTiO3 – a lone pair model system for studying structure-property relationships in photocatalysis, ferroelectricity and beyond",2020,dissertation,4,,False,3,UNREVIEWED,NOT_CODED
001718f8acd39e35a9d00f48,10.11648/j.nano.20140204.13,Green Synthesis of Tin Based Nano Medicine: Assessment of Microstructure and Surface Property,2014,article,4,,False,1,UNREVIEWED,NOT_CODED
00192030952b7fbf43dba325,10.26434/chemrxiv.15008370/v1,Unifying Water Oxidation Chemistry of Iridium Oxide from Aqueous Model Systems to Proton Exchange Membrane Electrolysers,2026,preprint,4,oxide,False,2,UNREVIEWED,NOT_CODED
001ef2096185bd522bfd45e6,10.1038/s43246-026-01292-w,Complex magnetic behavior in RuO2 thin films driven by strain and substrate effects,2026,article,4,oxide,False,2,UNREVIEWED,NOT_CODED
001fdec8f551aa558b3d1e4b,10.48550/arxiv.2202.07322,Recent Advances in Design of Electrocatalysts for High-Current-Density Water Splitting,2022,preprint,5,,,1,UNREVIEWED,NOT_CODED
002037c17003f5c2f07e4d28,10.1016/j.cclet.2026.112919,TiO2-supported IrPtOx as efficient low-iridium catalysts for water oxidation in proton exchange membrane electrolyzer,2026,article,4,oxide,False,1,UNREVIEWED,NOT_CODED
0028c7f251f48e42e381b0ae,,Anomalous metal enrichment of Basin Brines in the Zambian Copperbelt: a comparison of fluid chemistry in contrasting sediment-hosted copper systems,2019,dissertation,4,,False,1,UNREVIEWED,NOT_CODED
00290724c759de864cacd84e,10.2172/1017096,Symposium GC: Nanoscale Charge Transport in Excitonic Solar Cells,2011,report,4,,False,1,UNREVIEWED,NOT_CODED
002a0bf07bf38724f3c38f52,10.53469/jrse.2026.08(05).11,Electrochemical Analysis of S-Doped NiFeOOH Catalysts under Alkaline Conditions,2026,article,4,,False,1,UNREVIEWED,NOT_CODED
002b68b6c0b7769a1d6cf612,10.1021/acs.jpcc.5b04726,σ–π-Band Inversion in a Novel Two-Dimensional Material,2015,article,4,,False,1,UNREVIEWED,NOT_CODED
002d07e9c3a75c2ddb065965,10.1002/admi.201900496,In Situ Optical Absorption Studies of Point Defect Kinetics and Thermodynamics in Oxide Thin Films,2019,article,4,,False,2,UNREVIEWED,NOT_CODED
002f23b0a6098e1325991fa6,10.3390/batteries7010001,Effect of Vinylene Carbonate Electrolyte Additive on the Surface Chemistry and Pseudocapacitive Sodium-Ion Storage of TiO2 Nanosheet Anodes,2020,article,4,oxide,False,1,UNREVIEWED,NOT_CODED
